Date,Open,High,Low,Close,Volume,Adj Close
2014-08-08,31.80,32.34,31.80,32.32,2191500,32.32
2014-08-07,32.37,32.48,31.67,31.79,3747800,31.79
2014-08-06,32.03,32.37,32.01,32.30,3163800,32.30
2014-08-05,32.57,32.88,31.98,32.21,5933100,32.21
2014-08-04,32.72,33.35,32.58,33.24,4676100,33.24
2014-08-01,32.77,33.04,32.59,32.74,5381100,32.74
2014-07-31,32.91,33.13,32.87,32.91,3002700,32.91
2014-07-30,33.15,33.25,32.92,33.14,1800600,33.14
2014-07-29,32.80,33.22,32.70,33.03,2994400,33.03
2014-07-28,32.77,32.97,32.67,32.86,1627800,32.86
2014-07-25,32.77,32.90,32.68,32.82,1579600,32.82
2014-07-24,32.90,32.97,32.76,32.89,2007900,32.89
2014-07-23,32.85,32.94,32.78,32.84,2078600,32.84
2014-07-22,32.96,33.23,32.83,32.87,2590600,32.87
2014-07-21,32.61,32.88,32.60,32.85,2513300,32.85
2014-07-18,32.15,32.74,32.07,32.69,3261000,32.69
2014-07-17,32.43,32.51,32.15,32.21,2154100,32.21
2014-07-16,32.43,32.70,32.35,32.63,1768100,32.63
2014-07-15,32.63,32.71,32.26,32.39,2496200,32.39
2014-07-14,32.56,32.85,32.40,32.73,1900200,32.73
2014-07-11,32.44,32.56,32.30,32.37,1422900,32.37
2014-07-10,32.22,32.69,32.02,32.52,2003800,32.52
2014-07-09,32.47,32.64,32.29,32.46,1339900,32.46
2014-07-08,32.40,32.51,32.17,32.48,1846200,32.48
2014-07-07,32.88,32.89,32.56,32.56,2087600,32.56
2014-07-03,32.76,32.92,32.65,32.91,1370200,32.91
2014-07-02,32.50,32.76,32.50,32.74,1850700,32.74
2014-07-01,32.46,32.61,32.31,32.51,2263500,32.51
2014-06-30,32.45,32.73,32.12,32.27,1847300,32.27
2014-06-27,32.21,32.41,32.16,32.38,1435000,32.38
2014-06-26,32.35,32.43,32.08,32.24,2240100,32.24
2014-06-25,32.41,32.57,32.29,32.37,2751400,32.37
2014-06-24,32.67,32.70,32.35,32.37,1772500,32.37
2014-06-23,32.54,32.73,32.43,32.64,2513600,32.64
2014-06-20,32.40,32.58,32.05,32.46,7836200,32.46
2014-06-19,32.97,33.05,32.53,32.55,4062900,32.55
2014-06-18,32.72,32.89,32.46,32.89,2482800,32.89
2014-06-17,32.06,32.85,32.06,32.81,4407200,32.81
2014-06-16,32.08,32.21,31.99,32.13,2197200,32.13
2014-06-13,31.96,32.14,31.83,32.12,1904500,32.12
2014-06-12,32.08,32.13,31.82,31.99,4298500,31.99
2014-06-11,32.50,32.53,32.10,32.13,3600700,32.13
2014-06-10,31.94,32.51,31.91,32.50,4639800,32.50
2014-06-09,31.78,32.01,31.65,32.01,3189400,32.01
2014-06-06,31.62,31.80,31.61,31.74,2524200,31.74
2014-06-05,31.41,31.65,31.22,31.61,2784700,31.61
2014-06-04,31.18,31.45,31.13,31.37,3349900,31.37
2014-06-03,30.89,31.26,30.79,31.25,3323000,31.25
2014-06-02,30.80,30.96,30.65,30.92,3561300,30.92
2014-05-30,30.79,30.93,30.67,30.70,3076700,30.70
2014-05-29,30.60,30.77,30.50,30.72,2610800,30.72
2014-05-28,30.73,30.73,30.43,30.48,5791000,30.48
2014-05-27,30.74,30.77,30.54,30.70,2395700,30.70
2014-05-23,30.34,30.58,30.30,30.53,4085500,30.53
2014-05-22,30.35,30.55,30.26,30.33,4522700,30.33
2014-05-21,30.38,30.50,30.24,30.42,2421900,30.42
2014-05-20,30.51,30.59,30.27,30.28,2538700,30.28
2014-05-19,30.60,30.63,30.28,30.46,3671100,30.46
2014-05-16,30.43,30.61,30.32,30.60,3058700,30.60
2014-05-15,30.53,30.64,30.35,30.46,3104500,30.46
2014-05-14,30.64,30.81,30.48,30.64,2253600,30.64
2014-05-13,30.80,30.86,30.60,30.73,1932200,30.73
2014-05-12,30.58,30.86,30.55,30.81,1971000,30.81
2014-05-09,30.47,30.57,30.05,30.54,3339700,30.54
2014-05-08,30.55,30.81,30.41,30.48,2687200,30.48
2014-05-07,30.10,30.74,30.00,30.65,6810600,30.65
2014-05-06,29.85,31.39,29.56,30.89,6532400,30.89
2014-05-05,30.42,30.63,30.11,30.53,4425200,30.53
2014-05-02,30.32,30.75,30.30,30.64,3042100,30.64
2014-05-01,30.31,30.53,30.18,30.31,3207000,30.31
2014-04-30,30.36,30.46,29.96,30.26,4116100,30.26
2014-04-29,30.43,30.53,30.20,30.53,2531700,30.53
2014-04-28,30.52,30.67,30.04,30.40,3704400,30.40
2014-04-25,29.81,30.29,29.62,30.16,4857700,30.16
2014-04-24,29.30,30.02,29.25,29.89,4412100,29.89
2014-04-23,29.75,29.89,29.30,29.39,3803300,29.32
2014-04-22,29.52,30.02,29.19,29.89,8353800,29.82
2014-04-21,28.70,29.06,28.53,29.03,4437500,28.96
2014-04-17,28.51,28.71,28.46,28.60,3425800,28.53
2014-04-16,28.55,28.70,28.40,28.53,4220000,28.46
2014-04-15,28.57,28.57,28.14,28.55,3231600,28.48
2014-04-14,28.48,28.78,28.26,28.48,2559900,28.41
2014-04-11,28.76,28.87,28.28,28.40,3185500,28.33
2014-04-10,28.99,29.22,28.80,28.86,5372600,28.79
2014-04-09,29.22,29.22,28.77,29.06,3631300,28.99
2014-04-08,28.90,29.22,28.68,29.15,4744600,29.08
2014-04-07,29.25,29.32,28.85,29.00,4073700,28.93
2014-04-04,29.64,30.01,29.21,29.32,4963400,29.25
2014-04-03,29.71,29.71,29.39,29.62,2896500,29.55
2014-04-02,29.28,29.70,29.14,29.62,2341200,29.55
2014-04-01,28.97,29.39,28.97,29.35,3658000,29.28
2014-03-31,29.07,29.14,28.66,28.94,8689200,28.87
2014-03-28,29.46,29.51,28.91,29.01,6398900,28.94
